"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.596083333E-3,-7.982151031E0,-5.399272156E0,-4.305047607E-1
1.154108333E-2,-7.976313171E0,-5.302722931E0,-4.032614136E-1
2.148608334E-2,-8.081694031E0,-5.322182465E0,-5.730084229E-1
3.143008333E-2,-8.195158081E0,-5.431155853E0,-7.084767151E-1
4.137508333E-2,-8.181386719E0,-5.503455505E0,-6.701564026E-1
5.132008334E-2,-8.051606598E0,-5.514083405E0,-6.415658569E-1
6.126508334E-2,-7.909252625E0,-5.504503326E0,-6.331832886E-1
7.120908333E-2,-7.882458344E0,-5.482648773E0,-5.954617310E-1
8.115408333E-2,-7.965834961E0,-5.430706787E0,-5.207670593E-1
9.109908334E-2,-8.073910217E0,-5.346282349E0,-4.411326599E-1
1.010430833E-1,-8.180189209E0,-5.295687561E0,-3.966751099E-1
1.109878750E-1,-8.314609680E0,-5.235512695E0,-3.326083374E-1
1.209328750E-1,-8.445437622E0,-5.205125885E0,-2.058219910E-1
1.308778750E-1,-8.437653809E0,-5.214855652E0,-1.538800049E-1
1.408218750E-1,-8.316405945E0,-5.182822266E0,-1.329235840E-1
1.507668750E-1,-8.173752594E0,-5.154082031E0,-3.817062378E-2
1.607118750E-1,-8.122559052E0,-5.156327362E0,6.601272583E-2
1.706568750E-1,-8.148305511E0,-5.147346039E0,5.957611084E-2
1.806008750E-1,-8.235124969E0,-5.133424988E0,-3.053649902E-2
1.905458750E-1,-8.305478668E0,-5.186564484E0,-5.403762817E-2
2.004908750E-1,-8.336913300E0,-5.261109467E0,1.541793823E-2
2.104358750E-1,-8.284671936E0,-5.318140869E0,7.664062500E-2
2.203798750E-1,-8.170309753E0,-5.346132660E0,3.248245239E-2
2.303248750E-1,-8.072413330E0,-5.401816864E0,-6.286926270E-2
2.402698750E-1,-8.013136597E0,-5.470374298E0,-1.683998108E-1
2.502148750E-1,-8.019273834E0,-5.485642548E0,-2.469863892E-1
2.601588750E-1,-8.134234772E0,-5.442083130E0,-3.713777161E-1
2.701038750E-1,-8.349337463E0,-5.407355347E0,-6.574328613E-1
2.800488750E-1,-8.531658325E0,-5.493426361E0,-9.056167603E-1
2.899938750E-1,-8.617280273E0,-5.642516327E0,-9.946815491E-1
2.999378750E-1,-8.621621246E0,-5.766458588E0,-9.892927551E-1
3.098828750E-1,-8.506809998E0,-5.846542053E0,-9.279203796E-1
3.198278750E-1,-8.169261932E0,-5.769003296E0,-7.554789734E-1
3.297728750E-1,-7.881709900E0,-5.595214691E0,-7.108717346E-1
3.397168750E-1,-7.960745544E0,-5.341342621E0,-7.273374939E-1
3.496618750E-1,-8.303532715E0,-4.855303345E0,-6.424639893E-1
3.596068750E-1,-8.704997864E0,-4.272565155E0,-5.875282288E-1
3.695518750E-1,-9.047036591E0,-3.735781403E0,-5.965095520E-1
3.794958750E-1,-9.193132782E0,-3.238365784E0,-6.541397095E-1
3.894408750E-1,-9.229956207E0,-2.865491180E0,-6.701564026E-1
3.993858750E-1,-9.336085510E0,-2.636766815E0,-6.051914978E-1
4.093308750E-1,-9.466015320E0,-2.423310699E0,-5.025050354E-1
4.192748750E-1,-9.441915436E0,-2.277364197E0,-2.802172852E-1
4.292198750E-1,-9.472152557E0,-2.239942017E0,-2.911445618E-1
4.391648750E-1,-9.522148590E0,-2.303110657E0,-2.273771667E-1
4.491098750E-1,-9.440568237E0,-2.357747040E0,-1.480421448E-1
4.590538750E-1,-9.315278778E0,-2.433489532E0,-5.927673340E-2
4.689988750E-1,-9.151968384E0,-2.597847748E0,2.110610962E-2
4.789438750E-1,-9.270970917E0,-2.919079742E0,-2.261796570E-1
4.888878750E-1,-9.465416565E0,-3.268752594E0,-2.230361938E-1
4.988328750E-1,-9.336983643E0,-3.583248596E0,-4.221221924E-2
5.087778750E-1,-9.118438110E0,-4.015100555E0,-5.328918457E-2
5.187228750E-1,-8.896300049E0,-4.528532867E0,-1.745370483E-1
5.286668750E-1,-8.745413818E0,-4.980443115E0,-3.257226562E-1
5.386118750E-1,-8.649613037E0,-5.277724915E0,-4.189787292E-1
5.485568750E-1,-8.444090424E0,-5.435197449E0,-4.519102478E-1
5.585018750E-1,-8.432564392E0,-5.397475891E0,-6.005511475E-1
5.684458750E-1,-8.577912140E0,-5.128335571E0,-7.970924377E-1
5.783908750E-1,-8.653504944E0,-4.859794006E0,-8.009843445E-1
5.883358750E-1,-8.655450897E0,-4.724475403E0,-9.032217407E-1
5.982808750E-1,-8.581804047E0,-4.639751587E0,-1.086141357E0
6.082248750E-1,-8.511150970E0,-4.615352325E0,-9.279203796E-1
6.181698750E-1,-8.438851318E0,-4.614154816E0,-7.707472229E-1
6.281148750E-1,-8.414152679E0,-4.570894775E0,-6.908134460E-1
